Overall_Rank,State,Total_Score,Emotional_Physical_WellBeing_Rank,Work_Environment_Rank,Community_Environment_Rank,State_Code
1,Hawaii,65.5,2,16,13,HI
2,Maryland,64.13,3,14,10,MD
3,Nebraska,63.61,9,7,4,NE
4,New Jersey,63.42,1,23,36,NJ
5,Connecticut,62.53,7,11,8,CT
6,Utah,61.12,26,1,1,UT
7,California,60.09,4,45,11,CA
8,New Hampshire,59.56,15,10,7,NH
9,Massachusetts,59.19,8,6,31,MA
10,Idaho,58.31,29,2,2,ID
11,Minnesota,58.21,11,12,19,MN
12,Delaware,56.07,13,24,20,DE
13,South Dakota,55.93,30,3,6,SD
14,Florida,55.86,6,21,47,FL
15,Virginia,55.45,12,17,37,VA
16,New York,55.42,5,42,45,NY
17,Iowa,55.42,21,22,9,IA
18,Pennsylvania,54.73,14,31,16,PA
19,Georgia,53.88,17,25,25,GA
20,Wisconsin,53.62,24,13,28,WI
21,North Dakota,53.43,20,9,41,ND
22,Illinois,53.38,10,35,43,IL
23,Arizona,52.89,16,27,32,AZ
24,Washington,52.88,18,36,18,WA
25,South Carolina,52.82,25,20,17,SC
26,Rhode Island,51.68,19,15,44,RI
27,Kansas,51.29,27,19,29,KS
28,North Carolina,50.97,22,28,33,NC
29,Vermont,49.93,31,4,42,VT
30,Wyoming,49.47,39,38,5,WY
31,Missouri,48.31,35,18,26,MO
32,Montana,47.83,45,5,21,MT
33,Maine,47.64,36,8,40,ME
34,Indiana,47.36,33,34,14,IN
35,Michigan,47.06,34,43,12,MI
36,Oklahoma,47.05,46,40,3,OK
37,Texas,46.41,23,26,50,TX
38,Ohio,45.67,38,39,22,OH
39,Oregon,44.93,36,30,39,OR
40,Nevada,44.82,40,44,24,NV
41,Colorado,44.49,28,33,49,CO
42,Mississippi,43.9,41,32,38,MS
43,Kentucky,43.25,42,47,30,KY
44,New Mexico,43.08,44,46,15,NM
45,Tennessee,41.22,47,29,35,TN
46,Alaska,40.69,32,48,48,AK
47,Alabama,40.69,43,41,46,AL
48,Arkansas,37.03,48,37,34,AR
49,Louisiana,34.26,49,49,23,LA
50,West Virginia,32.04,50,50,27,WV
