State,State_Code,Region,Overall_Rank,Total_Score,Emotional_Physical_WellBeing_Rank,Work_Environment_Rank,Community_Environment_Rank,Candy,Candy_Rank,Candy_Type
Alabama,AL,Southeast,47.0,40.69,43.0,41.0,46.0,Candy Necklaces,1,Hard Candy
Alabama,AL,Southeast,47.0,40.69,43.0,41.0,46.0,Heart-Shaped Box of Chocolates,3,Chocolate
Alabama,AL,Southeast,47.0,40.69,43.0,41.0,46.0,Conversation Hearts,2,Hard Candy
Alaska,AK,West,46.0,40.69,32.0,48.0,48.0,Heart-Shaped Box of Chocolates,2,Chocolate
Alaska,AK,West,46.0,40.69,32.0,48.0,48.0,Conversation Hearts,1,Hard Candy
Alaska,AK,West,46.0,40.69,32.0,48.0,48.0,Cinnamon Bears,3,Chewy Candy
Arizona,AZ,Southwest,23.0,52.89,16.0,27.0,32.0,Heart-Shaped Box of Chocolates,2,Chocolate
Arizona,AZ,Southwest,23.0,52.89,16.0,27.0,32.0,Conversation Hearts,3,Hard Candy
Arizona,AZ,Southwest,23.0,52.89,16.0,27.0,32.0,M&M's,1,Chocolate
Arkansas,AR,Southeast,48.0,37.03,48.0,37.0,34.0,Conversation Hearts,2,Hard Candy
Arkansas,AR,Southeast,48.0,37.03,48.0,37.0,34.0,Ghirardelli Gift Box,3,Chocolate
Arkansas,AR,Southeast,48.0,37.03,48.0,37.0,34.0,Hershey Kisses,1,Chocolate
California,CA,West,7.0,60.09,4.0,45.0,11.0,Conversation Hearts,1,Hard Candy
California,CA,West,7.0,60.09,4.0,45.0,11.0,Heart-Shaped Box of Chocolates,2,Chocolate
California,CA,West,7.0,60.09,4.0,45.0,11.0,M&M's,3,Chocolate
Colorado,CO,West,41.0,44.49,28.0,33.0,49.0,Conversation Hearts,2,Hard Candy
Colorado,CO,West,41.0,44.49,28.0,33.0,49.0,Hershey Kisses,3,Chocolate
Colorado,CO,West,41.0,44.49,28.0,33.0,49.0,Heart-Shaped Box of Chocolates,1,Chocolate
Connecticut,CT,Northeast,5.0,62.53,7.0,11.0,8.0,Heart-Shaped Box of Chocolates,1,Chocolate
Connecticut,CT,Northeast,5.0,62.53,7.0,11.0,8.0,Conversation Hearts,3,Hard Candy
Connecticut,CT,Northeast,5.0,62.53,7.0,11.0,8.0,M&M's,2,Chocolate
Delaware,DE,Northeast,12.0,56.07,13.0,24.0,20.0,Hershey Kisses,1,Chocolate
Delaware,DE,Northeast,12.0,56.07,13.0,24.0,20.0,Chocolate Hearts,3,Chocolate
Delaware,DE,Northeast,12.0,56.07,13.0,24.0,20.0,Conversation Hearts,2,Hard Candy
Florida,FL,Southeast,14.0,55.86,6.0,21.0,47.0,Conversation Hearts,2,Hard Candy
Florida,FL,Southeast,14.0,55.86,6.0,21.0,47.0,Chocolate Roses,3,Chocolate
Florida,FL,Southeast,14.0,55.86,6.0,21.0,47.0,Heart-Shaped Box of Chocolates,1,Chocolate
Georgia,GA,Southeast,19.0,53.88,17.0,25.0,25.0,Heart-Shaped Box of Chocolates,1,Chocolate
Georgia,GA,Southeast,19.0,53.88,17.0,25.0,25.0,Chocolate Roses,2,Chocolate
Georgia,GA,Southeast,19.0,53.88,17.0,25.0,25.0,Conversation Hearts,3,Hard Candy
Hawaii,HI,West,1.0,65.5,2.0,16.0,13.0,Conversation Hearts,1,Hard Candy
Hawaii,HI,West,1.0,65.5,2.0,16.0,13.0,Candy Necklaces,3,Hard Candy
Hawaii,HI,West,1.0,65.5,2.0,16.0,13.0,M&M's,2,Chocolate
Idaho,ID,West,10.0,58.31,29.0,2.0,2.0,Conversation Hearts,2,Hard Candy
Idaho,ID,West,10.0,58.31,29.0,2.0,2.0,M&M's,3,Chocolate
Idaho,ID,West,10.0,58.31,29.0,2.0,2.0,Hershey Kisses,1,Chocolate
Illinois,IL,Midwest,22.0,53.38,10.0,35.0,43.0,M&M's,3,Chocolate
Illinois,IL,Midwest,22.0,53.38,10.0,35.0,43.0,Chocolate Hearts,1,Chocolate
Illinois,IL,Midwest,22.0,53.38,10.0,35.0,43.0,Conversation Hearts,2,Hard Candy
Indiana,IN,Midwest,34.0,47.36,33.0,34.0,14.0,Conversation Hearts,2,Hard Candy
Indiana,IN,Midwest,34.0,47.36,33.0,34.0,14.0,Chocolate Roses,3,Chocolate
Indiana,IN,Midwest,34.0,47.36,33.0,34.0,14.0,Heart-Shaped Box of Chocolates,1,Chocolate
Iowa,IA,Midwest,17.0,55.42,21.0,22.0,9.0,Conversation Hearts,2,Hard Candy
Iowa,IA,Midwest,17.0,55.42,21.0,22.0,9.0,Ghirardelli Gift Box,3,Chocolate
Iowa,IA,Midwest,17.0,55.42,21.0,22.0,9.0,M&M's,1,Chocolate
Kansas,KS,Midwest,27.0,51.29,27.0,19.0,29.0,Heart-Shaped Box of Chocolates,1,Chocolate
Kansas,KS,Midwest,27.0,51.29,27.0,19.0,29.0,M&M's,2,Chocolate
Kansas,KS,Midwest,27.0,51.29,27.0,19.0,29.0,Ghirardelli Gift Box,3,Chocolate
Kentucky,KY,Southeast,43.0,43.25,42.0,47.0,30.0,M&M's,2,Chocolate
Kentucky,KY,Southeast,43.0,43.25,42.0,47.0,30.0,Chocolate Roses,1,Chocolate
Kentucky,KY,Southeast,43.0,43.25,42.0,47.0,30.0,Conversation Hearts,3,Hard Candy
Louisiana,LA,Southeast,49.0,34.26,49.0,49.0,23.0,Conversation Hearts,1,Hard Candy
Louisiana,LA,Southeast,49.0,34.26,49.0,49.0,23.0,M&M's,3,Chocolate
Louisiana,LA,Southeast,49.0,34.26,49.0,49.0,23.0,Heart-Shaped Box of Chocolates,2,Chocolate
Maine,ME,Northeast,33.0,47.64,36.0,8.0,40.0,Ghirardelli Gift Box,2,Chocolate
Maine,ME,Northeast,33.0,47.64,36.0,8.0,40.0,Conversation Hearts,3,Hard Candy
Maine,ME,Northeast,33.0,47.64,36.0,8.0,40.0,Chocolate Hearts,1,Chocolate
Maryland,MD,Northeast,2.0,64.13,3.0,14.0,10.0,M&M's,1,Chocolate
Maryland,MD,Northeast,2.0,64.13,3.0,14.0,10.0,Conversation Hearts,2,Hard Candy
Maryland,MD,Northeast,2.0,64.13,3.0,14.0,10.0,Heart-Shaped Box of Chocolates,3,Chocolate
Massachusetts,MA,Northeast,9.0,59.19,8.0,6.0,31.0,Conversation Hearts,1,Hard Candy
Massachusetts,MA,Northeast,9.0,59.19,8.0,6.0,31.0,Chocolate Hearts,3,Chocolate
Massachusetts,MA,Northeast,9.0,59.19,8.0,6.0,31.0,Heart-Shaped Box of Chocolates,2,Chocolate
Michigan,MI,Midwest,35.0,47.06,34.0,43.0,12.0,Cupid Corn,1,Chewy Candy
Michigan,MI,Midwest,35.0,47.06,34.0,43.0,12.0,Heart-Shaped Box of Chocolates,2,Chocolate
Michigan,MI,Midwest,35.0,47.06,34.0,43.0,12.0,Conversation Hearts,3,Hard Candy
Minnesota,MN,Midwest,11.0,58.21,11.0,12.0,19.0,Heart-Shaped Box of Chocolates,2,Chocolate
Minnesota,MN,Midwest,11.0,58.21,11.0,12.0,19.0,M&M's,1,Chocolate
Minnesota,MN,Midwest,11.0,58.21,11.0,12.0,19.0,Conversation Hearts,3,Hard Candy
Mississippi,MS,Southeast,42.0,43.9,41.0,32.0,38.0,Chocolate Roses,3,Chocolate
Mississippi,MS,Southeast,42.0,43.9,41.0,32.0,38.0,Conversation Hearts,2,Hard Candy
Mississippi,MS,Southeast,42.0,43.9,41.0,32.0,38.0,Heart-Shaped Box of Chocolates,1,Chocolate
Missouri,MO,Midwest,31.0,48.31,35.0,18.0,26.0,Hershey Kisses,3,Chocolate
